cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count
300.0,355.0,4.583497844237541,66.0,0.9494065464848278,3.0487763424957848e-09,6.923590589735795e-10,2.3564172835222053e-09,2.3564172835222053,23.564172835222053,4.583497844237541,6.875246766356311,76.0
142.0,357.0,5.046265044040321,80.0,0.9385620426831546,1.993739173755671e-09,7.236970467339177e-10,1.2700421270217532e-09,1.2700421270217532,12.700421270217532,5.046265044040321,7.569397566060481,96.0
414.0,360.0,5.997417539138688,113.0,0.720809059682238,1.4498008349406177e-09,4.309170242855487e-10,1.018883810655069e-09,1.018883810655069,10.18883810655069,5.997417539138688,8.996126308708032,140.0
473.0,361.0,5.046265044040321,80.0,0.9019924652340076,1.4550918248090738e-09,3.0299504572006697e-10,1.1520967790890069e-09,1.1520967790890069,11.520967790890069,5.046265044040321,7.569397566060481,96.0
377.0,360.0,4.982787485166879,78.0,0.888552177480259,4.937584230368941e-10,-1.4384062690941946e-10,6.375990499463136e-10,0.6375990499463136,6.375990499463136,4.982787485166879,7.474181227750319,108.0
166.0,362.0,3.989422804014327,50.0,1.1559981640761263,-6.247502515321912e-10,-1.3074538673940594e-09,6.827036158618682e-10,0.6827036158618682,6.827036158618682,3.989422804014327,5.984134206021491,64.0
257.0,368.0,4.787307364817192,72.0,0.9800094725678229,1.6695262949895096e-09,2.4453178371075524e-10,1.4249945112787543e-09,1.4249945112787543,14.249945112787543,4.787307364817192,7.180961047225788,92.0
500.0,369.0,4.686510657907603,69.0,0.8707338910627722,5.831165550418405e-10,-2.0716790782859817e-10,7.902844628704386e-10,0.7902844628704386,7.902844628704386,4.686510657907603,7.029765986861404,80.0
194.0,370.0,3.6125759969217834,41.0,1.2277497479199184,2.437078872041809e-10,-5.361441290929747e-10,7.798520162971556e-10,0.7798520162971556,7.798520162971556,3.6125759969217834,5.418863995382675,52.0
239.0,378.0,4.61809077155419,67.0,1.0201786698650588,7.94382226665391e-10,1.6574414757331013e-10,6.286380790920809e-10,0.6286380790920809,6.286380790920809,4.61809077155419,6.927136157331285,76.0
19.0,380.0,3.7846987830302403,45.0,1.0947196532163326,-4.174192380634878e-10,-1.2498096446655893e-09,8.323904066021015e-10,0.8323904066021015,8.323904066021015,3.7846987830302403,5.6770481745453605,56.0
112.0,383.0,4.820437914901168,73.0,1.0501011802029157,8.944155971413181e-10,-1.0926779966946576e-10,1.0036833968107839e-09,1.003683396810784,10.036833968107839,4.820437914901168,7.230656872351752,100.0
86.0,390.0,3.826519928662906,46.0,1.0120226891763986,6.38153307974676e-10,-2.2293002079759594e-11,6.604463100544355e-10,0.6604463100544355,6.604463100544356,3.826519928662906,5.739779892994359,56.0
431.0,397.0,5.4115163798060095,92.0,0.7101121143484936,1.964152840372435e-09,5.951886206112533e-10,1.3689642197611818e-09,1.3689642197611818,13.689642197611818,5.4115163798060095,8.117274569709014,116.0
338.0,401.0,4.442433223290478,62.0,0.9983970872568755,4.1703665520920197e-10,-3.8448881578556637e-10,8.015254709947683e-10,0.8015254709947683,8.015254709947683,4.442433223290478,6.6636498349357165,76.0
164.0,402.0,4.406461512053774,61.0,1.0094767952198842,1.0941508810091705e-09,9.021680277832012e-11,1.0039340782308503e-09,1.0039340782308503,10.039340782308503,4.406461512053774,6.609692268080661,76.0
228.0,402.0,5.836022431559495,107.0,0.6120722156950229,1.2398883031394803e-09,3.802631126648137e-10,8.596251904746666e-10,0.8596251904746666,8.596251904746666,5.836022431559495,8.754033647339241,132.0
501.0,406.0,5.322553886092406,89.0,0.8032727638379229,1.7219943526658454e-10,-5.248946555180822e-10,6.970940907846668e-10,0.6970940907846668,6.970940907846668,5.322553886092406,7.983830829138609,104.0
52.0,411.0,4.478115991081385,63.0,0.90625170346279,1.0418856888350092e-09,1.257377466035159e-10,9.161479422314933e-10,0.9161479422314933,9.161479422314933,4.478115991081385,6.717173986622077,76.0
266.0,412.0,5.046265044040321,80.0,0.9941987258216343,2.8112088212850495e-09,6.713404832048298e-10,2.1398683380802197e-09,2.1398683380802197,21.398683380802197,5.046265044040321,7.569397566060481,96.0
69.0,415.0,4.753945931439391,71.0,0.8959725545718386,1.1144114520078574e-09,1.5418337440120666e-10,9.602280776066507e-10,0.9602280776066507,9.602280776066507,4.753945931439391,7.130918897159087,92.0
378.0,419.0,5.808687281605183,106.0,0.8662656313772014,2.0447468163098392e-09,4.1890951818501776e-10,1.6258372981248215e-09,1.6258372981248215,16.258372981248215,5.808687281605183,8.713030922407775,140.0
4.0,423.0,4.3336224206596095,59.0,0.883380916186283,2.017288558420205e-09,3.7454966905769993e-10,1.642738889362505e-09,1.642738889362505,16.42738889362505,4.3336224206596095,6.500433630989415,62.0
308.0,422.0,4.145929793656026,54.0,0.9673740686372482,8.235107040732714e-10,-3.484198901615443e-10,1.1719305942348157e-09,1.1719305942348157,11.719305942348157,4.145929793656026,6.2188946904840385,64.0
411.0,422.0,4.442433223290478,62.0,0.8122755109675945,9.4675656203691e-10,3.692309652469916e-11,9.098334655122109e-10,0.9098334655122109,9.098334655122109,4.442433223290478,6.6636498349357165,76.0
208.0,432.0,4.652426491681278,68.0,0.9008362016332853,1.506153202157634e-09,7.155213088694268e-10,7.906318932882073e-10,0.7906318932882073,7.906318932882073,4.652426491681278,6.978639737521917,76.0
