qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
10.0,316.0,262.0,3.656366395715726,35.706703083161386,42.0,4005.43212890625,1.1005023051819023,1.6925894019692578e-09,8.995941491729553e-10,7.929952527963025e-10,0.7929952527963025,7.9299525279630245,3.656366395715726,5.48454959357359,35.706703083161386,53.56005462474209,52.0,automatic,7.4795024245507395,6.02597160745708,6.75273701600391,73.04201586475331,58.84737897907305,65.94469742191319
11.0,352.0,264.0,3.5682482323055424,34.84617414360881,40.0,3814.697265625,1.1321312174210385,1.4152002902889649e-09,7.101975396661686e-10,7.050027506227963e-10,0.7050027506227963,7.050027506227963,3.5682482323055424,5.352372348458314,34.84617414360881,52.269261215413216,52.0,automatic,5.940460548088131,3.4740440621243813,4.707252305106256,58.01231003992316,33.92621154418341,45.969260792053284
25.0,193.0,306.0,9.062226582657155,88.49830647126129,258.0,24604.79736328125,0.9464950566081582,5.347139619971131e-09,7.495935816503874e-10,4.597546038320743e-09,4.597546038320743,45.975460383207434,9.062226582657155,13.593339873985734,88.49830647126129,132.74745970689193,316.0,automatic,16.085998837308754,18.4595840405016,17.272791438905177,157.0898323955933,180.26937539552344,168.67960389555836
1.0,143.0,306.0,3.2897623212397704,32.12658516835713,34.0,3242.49267578125,1.1747318946999283,1.8286983038962035e-09,6.388537754364876e-10,1.1898445284597159e-09,1.1898445284597159,11.898445284597159,3.2897623212397704,4.934643481859656,32.12658516835713,48.1898777525357,32.0,automatic,7.791755384137991,1.1557350560429533,4.473745220090472,76.09136117322257,11.286475156669466,43.68891816494602
19.0,248.0,321.0,3.385137501286538,33.057983411001345,36.0,3433.2275390625,1.1040227738672699,-6.600749391516558e-10,-1.445495056984214e-09,7.854201178325582e-10,0.7854201178325582,7.854201178325582,3.385137501286538,5.077706251929807,33.057983411001345,49.58697511650202,44.0,automatic,5.803107027225091,5.0612205115066775,5.432163769365884,56.670967062745035,49.4259815576824,53.04847431021371
29.0,292.0,337.0,7.998767850296815,78.11296728805483,201.0,19168.853759765625,0.9854495165958939,4.443908352413928e-09,6.642703331838362e-10,3.7796380192300916e-09,3.7796380192300916,37.796380192300916,7.998767850296815,11.998151775445223,78.11296728805483,117.16945093208226,244.0,automatic,13.097759013295153,14.144053354893916,13.620906184094535,127.90780286421048,138.1255210438859,133.0166619540482
37.0,455.0,340.0,8.902761462589227,86.94102990809792,249.0,23746.490478515625,0.9478525701358193,5.038165440396369e-09,3.1334185246478796e-10,4.7248235879315814e-09,4.724823587931581,47.248235879315814,8.902761462589227,13.354142193883842,86.94102990809792,130.41154486214688,320.0,automatic,14.779270752394215,15.385871036974873,15.082570894684544,144.32881594134975,150.25264684545775,147.29073139340375
26.0,65.0,359.0,7.776816725043752,75.94547583050539,190.0,18119.81201171875,0.9761762274420621,3.687204097602148e-09,2.5277822890412693e-10,3.434425868698021e-09,3.434425868698021,34.34425868698021,7.776816725043752,11.665225087565629,75.94547583050539,113.9182137457581,244.0,automatic,13.549744284859013,15.575117859021963,14.562431071940487,132.3217215318263,152.10076034201137,142.2112409369188
38.0,370.0,430.0,8.884866446580956,86.76627389239215,248.0,23651.123046875,0.9361225949089935,5.094901389668394e-09,1.0255505333844894e-09,4.069350856283904e-09,4.069350856283904,40.69350856283904,8.884866446580956,13.327299669871433,86.76627389239215,130.1494108385882,312.0,automatic,16.663568395824505,17.777250236027527,17.220409315926016,162.7301601154737,173.60595933620633,168.16805972584
,0.0,455.0,2.1850968611841584,21.338836535001548,15.0,1430.511474609375,0.8150944426649047,-4.0583664207005654e-10,-1.4910209733542956e-09,1.085184331284239e-09,1.085184331284239,10.85184331284239,2.1850968611841584,3.2776452917762375,21.338836535001548,32.00825480250232,13.0,automatic,,7.238638254151811,7.238638254151811,,70.68982670070127,70.68982670070127
